experiment_id,preprocessing,vectorization,sampling,model,accuracy,f1_score,precision,recall,f1_toxic,f1_non_toxic,best_threshold,accuracy_tuned,f1_tuned,precision_tuned,recall_tuned,duration_seconds,timestamp,error
539,moderate,tfidf_trigram,none,LightGBM (Tuned),0.9499012608233328,0.7292726974224265,0.9467178175618073,0.5930574098798398,0.7292726974224265,0.9723965918411758,0.25000000000000006,0.9524229074889868,0.7766048502139801,0.8336906584992343,0.7268357810413886,36.504725,2025-10-03 05:27:20,
540,moderate,tfidf_trigram,random_oversample,Logistic Regression (Balanced),0.9256569952909008,0.7246539889726566,0.6262154803578374,0.8598130841121495,0.7246539889726566,0.9570272026412378,0.7500000000000002,0.950934224517697,0.7789185489390829,0.7991573033707865,0.7596795727636849,2.789135,2025-10-03 05:27:23,
541,moderate,tfidf_trigram,random_oversample,Logistic Regression (C=0.1),0.9182743430047091,0.7056248632085795,0.597811978490636,0.8608811748998665,0.7056248632085795,0.9525506244267269,0.7000000000000002,0.9479872398602461,0.7573696145124716,0.8070069465418303,0.7134846461949266,0.926957,2025-10-03 05:27:24,
542,moderate,tfidf_trigram,random_oversample,Logistic Regression (C=10),0.923408780191402,0.7163910451119361,0.6189735614307932,0.8502002670226969,0.7163910451119361,0.9557261024569291,0.8500000000000002,0.9510557496582105,0.7750314201927105,0.8123536299765808,0.7409879839786382,3.592879,2025-10-03 05:27:27,
543,moderate,tfidf_trigram,random_oversample,Random Forest (100 trees),0.9378095093422452,0.6719025484853342,0.8404170008019246,0.559679572763685,0.6719025484853342,0.9656491752110218,0.3500000000000001,0.9373841713504482,0.725236635115318,0.724174653887114,0.7263017356475301,356.211739,2025-10-03 05:33:23,
544,moderate,tfidf_trigram,random_oversample,Random Forest (200 trees),0.7756949718973113,0.448906471598119,0.3115416493990883,0.8029372496662216,0.448906471598119,0.8591917303987947,0.6000000000000002,0.9226188667780647,0.6039496190328099,0.7230081906180194,0.5185580774365821,48.315627,2025-10-03 05:34:12,
545,moderate,tfidf_trigram,random_oversample,Naive Bayes,0.8574510101777305,0.5833777304208844,0.43700944525741653,0.87716955941255,0.5833777304208844,0.9140155402433661,0.8000000000000002,0.9379614157678869,0.7188876651982379,0.7419721511793123,0.697196261682243,0.207109,2025-10-03 05:34:12,
546,moderate,tfidf_trigram,random_oversample,Naive Bayes (alpha=0.1),0.8594561749962023,0.5862994097656948,0.44076912733629153,0.8753004005340453,0.5862994097656948,0.9153491436100132,0.8000000000000002,0.9376576029166034,0.7182092831639659,0.7393271133729149,0.69826435246996,0.210578,2025-10-03 05:34:12,
547,moderate,tfidf_trigram,random_oversample,XGBoost,0.9221023849308826,0.7028968713789108,0.6208802456499488,0.8098798397863819,0.7028968713789108,0.9551748251748252,0.7000000000000002,0.9499012608233328,0.7604242336190614,0.8339706819630338,0.6987983978638185,75.694737,2025-10-03 05:35:28,
548,moderate,tfidf_trigram,random_oversample,XGBoost (Tuned),0.9186692997113778,0.6932508307551277,0.607185869128864,0.807743658210948,0.6932508307551277,0.9531198010612402,0.6500000000000001,0.9474707580130639,0.7538790035587188,0.8073170731707318,0.7070761014686249,151.346936,2025-10-03 05:37:59,
549,moderate,tfidf_trigram,random_oversample,LightGBM,0.9212213276621601,0.7062422113968506,0.6133412042502951,0.8323097463284379,0.7062422113968506,0.9545111660789783,0.7000000000000002,0.9510557496582105,0.7727465086754126,0.819078947368421,0.7313751668891856,54.51112,2025-10-03 05:38:54,
550,moderate,tfidf_trigram,random_oversample,LightGBM (Tuned),0.9197326446908705,0.6964613970588235,0.6112119378907037,0.8093457943925234,0.6964613970588235,0.9537513566502118,0.6500000000000001,0.9479568585751177,0.7567106945036216,0.808252427184466,0.7113484646194926,51.42105,2025-10-03 05:39:45,
551,moderate,tfidf_trigram,random_undersample,Logistic Regression (Balanced),0.9111347409995443,0.689721014108412,0.5721576909538895,0.8680907877169559,0.689721014108412,0.9481410563267911,0.7000000000000002,0.9457997873310041,0.7553483269336259,0.7764307865802086,0.7353805073431242,0.438882,2025-10-03 05:39:46,
552,moderate,tfidf_trigram,random_undersample,Logistic Regression (C=0.1),0.8896855536989214,0.6323782525058216,0.5092954990215264,0.8339118825100134,0.6323782525058216,0.9351062498882992,0.6000000000000002,0.9278140665350144,0.6908665105386417,0.6736868815021568,0.7089452603471295,0.282583,2025-10-03 05:39:46,
553,moderate,tfidf_trigram,random_undersample,Logistic Regression (C=10),0.9070636487923439,0.6824457593688363,0.5582540760869565,0.8777036048064085,0.6824457593688363,0.9455664893143763,0.8500000000000002,0.950174692389488,0.7675736961451247,0.8178797946239806,0.7230974632843792,0.413347,2025-10-03 05:39:46,
554,moderate,tfidf_trigram,random_undersample,Random Forest (100 trees),0.8771380829409084,0.6046147829487681,0.4769396884158569,0.825634178905207,0.6046147829487681,0.9272688032804576,0.6000000000000002,0.9129879993923743,0.6513270026783541,0.5985679122846275,0.7142857142857143,14.561631,2025-10-03 05:40:01,
555,moderate,tfidf_trigram,random_undersample,Random Forest (200 trees),0.7667324927844448,0.45,0.307488986784141,0.8387182910547396,0.45,0.8519760940813572,0.6000000000000002,0.9157830776241835,0.60149511213341,0.6515104328869511,0.558611481975968,4.579607,2025-10-03 05:40:05,
556,moderate,tfidf_trigram,random_undersample,Naive Bayes,0.8470909919489594,0.569571538527324,0.4189733266230498,0.8891855807743658,0.569571538527324,0.9070321591517816,0.8000000000000002,0.9382044660489138,0.7159217877094972,0.7505124450951683,0.6843791722296395,0.147107,2025-10-03 05:40:06,
557,moderate,tfidf_trigram,random_undersample,Naive Bayes (alpha=0.1),0.8537748746771988,0.5777699798227914,0.43023255813953487,0.879305740987984,0.5777699798227914,0.9115761238999834,0.8000000000000002,0.9360473948048003,0.7136444021221603,0.7273987798114254,0.7004005340453938,0.146646,2025-10-03 05:40:06,
